playlist a,playlist b,common tracks, unique tracks
"im_a_barbie_girl_in_a_barbie_world_sukuna","what_was_i_made_for_type_of_sad",0,387
"im_a_barbie_girl_in_a_barbie_world_sukuna","barbie_movie_vibes_2023",23,416
"barbie_can_you_play_ken","barbie_vibes",0,209
"barbie_can_you_play_ken","🌷🎀_Barbie_Vibes_🛼🌸",0,244
"barbie_can_you_play_ken","what_was_i_made_for_type_of_sad",0,75
"barbie_can_you_play_ken","barbie_movie_vibes_2023",0,150
"barbie_vibes","🌷🎀_Barbie_Vibes_🛼🌸",27,317
"barbie_vibes","what_was_i_made_for_type_of_sad",0,202
"barbie_vibes","barbie_movie_vibes_2023",15,247
"🌷🎀_Barbie_Vibes_🛼🌸","what_was_i_made_for_type_of_sad",0,237
"🌷🎀_Barbie_Vibes_🛼🌸","barbie_movie_vibes_2023",35,242
"what_was_i_made_for_type_of_sad","barbie_movie_vibes_2023",0,143
